Genome	GeneModule	Pval
OCHF01000011	['OG_1568', 'OG_1526', 'OG_4674', 'OG_2234', 'OG_360', 'OG_4752', 'OG_1481']	869
OJOV01000080	['OG_2687', 'OG_3185', 'OG_570', 'OG_1982', 'OG_2011', 'OG_426', 'OG_228', 'OG_47', 'OG_4495', 'OG_155', 'OG_571', 'OG_557', 'OG_565', 'OG_429', 'OG_558', 'OG_564', 'OG_410', 'OG_245', 'OG_1731', 'OG_2144', 'OG_717', 'OG_4767', 'OG_236', 'OG_241', 'OG_566', 'OG_434', 'OG_572', 'OG_277', 'OG_559', 'OG_550', 'OG_445', 'OG_562', 'OG_242', 'OG_569', 'OG_1732', 'OG_549', 'OG_554', 'OG_1748', 'OG_4774', 'OG_553', 'OG_563', 'OG_240', 'OG_1749', 'OG_464', 'OG_452', 'OG_407', 'OG_353', 'OG_431', 'OG_551', 'OG_584', 'OG_271', 'OG_813']	48
OJOV01000080	['OG_572', 'OG_228', 'OG_1982', 'OG_813', 'OG_312', 'OG_155', 'OG_4767', 'OG_323']	282
OJOV01000080	['OG_410', 'OG_1982', 'OG_564', 'OG_561', 'OG_245', 'OG_426', 'OG_312', 'OG_813', 'OG_572', 'OG_1731', 'OG_1039', 'OG_202', 'OG_565', 'OG_570', 'OG_235', 'OG_314', 'OG_323', 'OG_2011', 'OG_429', 'OG_558', 'OG_271', 'OG_241', 'OG_2144', 'OG_237', 'OG_4495', 'OG_3185', 'OG_567', 'OG_574', 'OG_407', 'OG_1732', 'OG_47', 'OG_563', 'OG_238', 'OG_568', 'OG_1595', 'OG_553', 'OG_579', 'OG_575', 'OG_4773', 'OG_373', 'OG_2145', 'OG_571', 'OG_1597', 'OG_239', 'OG_464']	621
OJOV01000080	['OG_550', 'OG_426', 'OG_155', 'OG_312', 'OG_4767', 'OG_47', 'OG_323', 'OG_429']	217
OLOB01000056	['OG_1600', 'OG_3534', 'OG_349', 'OG_1409', 'OG_1408', 'OG_1070', 'OG_827', 'OG_214', 'OG_1078', 'OG_841', 'OG_1420', 'OG_1156', 'OG_891', 'OG_4766', 'OG_419', 'OG_829', 'OG_812', 'OG_305', 'OG_447', 'OG_1599', 'OG_288', 'OG_201', 'OG_229', 'OG_130', 'OG_47', 'OG_1414', 'OG_445', 'OG_4685', 'OG_1411', 'OG_591', 'OG_106', 'OG_818', 'OG_828', 'OG_679', 'OG_864', 'OG_64', 'OG_583', 'OG_4765', 'OG_1065', 'OG_750', 'OG_1403', 'OG_175', 'OG_191']	998
OLOB01000056	['OG_1420', 'OG_70', 'OG_479']	378
OLQR01000043	['OG_120', 'OG_584', 'OG_410', 'OG_361', 'OG_353', 'OG_114', 'OG_185']	130
OLQR01000043	['OG_420', 'OG_37', 'OG_425', 'OG_2687', 'OG_813', 'OG_156']	20
OLQR01000043	['OG_2203', 'OG_862', 'OG_219', 'OG_548', 'OG_115', 'OG_37', 'OG_2687', 'OG_464', 'OG_425', 'OG_361', 'OG_718', 'OG_211', 'OG_64', 'OG_420', 'OG_3411', 'OG_2390', 'OG_717', 'OG_714', 'OG_431', 'OG_707', 'OG_323', 'OG_440', 'OG_411', 'OG_716', 'OG_680', 'OG_116', 'OG_547', 'OG_47']	907
OLQR01000043	['OG_3411', 'OG_614', 'OG_291']	122
OLQR01000043	['OG_412', 'OG_119', 'OG_2687', 'OG_584', 'OG_3131', 'OG_411', 'OG_431', 'OG_64', 'OG_47', 'OG_547', 'OG_440', 'OG_291']	11
OLQR01000043	['OG_3862', 'OG_2203', 'OG_1151']	771
OLQR01000043	['OG_1039', 'OG_410', 'OG_813', 'OG_411', 'OG_291', 'OG_547', 'OG_64', 'OG_2390', 'OG_156', 'OG_714', 'OG_185', 'OG_2203', 'OG_323', 'OG_37']	126
OLQR01000043	['OG_439', 'OG_431', 'OG_410', 'OG_1151']	1
OLQR01000043	['OG_1151', 'OG_542', 'OG_2203', 'OG_424', 'OG_2687']	921
OLQR01000043	['OG_1980', 'OG_542', 'OG_211', 'OG_2687', 'OG_547', 'OG_2203', 'OG_291', 'OG_410', 'OG_323', 'OG_3411']	930
OLQR01000043	['OG_185', 'OG_410', 'OG_323']	622
OMDD01000022	['OG_791', 'OG_4771', 'OG_445']	775
OMDD01000022	['OG_1155', 'OG_1145', 'OG_426', 'OG_1043', 'OG_1050', 'OG_445', 'OG_239', 'OG_100']	924
OMDD01000022	['OG_1048', 'OG_1150', 'OG_1060', 'OG_1043', 'OG_1981', 'OG_4771']	54
